decimalLatitude,decimalLongitude,eventDate,eventid,fieldnotes,footprintWKT,geodeticdatum,maximumdepthinmeters,modified,occurrenceid,parenteventid
43.5506,-63.46193,2013-05-28T19:41:36Z/2017-02-22T13:16:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX156-VR4-250165-3,,POINT(-63.46193 43.5506),EPSG:4326,148.0,2013-10-17,,
43.55708,-63.45718,2013-05-28T19:33:18Z/2017-02-22T13:05:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX155-VR4-250446-3,,POINT(-63.45718 43.55708),EPSG:4326,142.0,2013-10-17,,
43.5634,-63.45234,,urn:catalog:otn:DFO-BIO:HFX:HFX154-VR4-250443-3,"DOMINI2017022204: No response from AR, VR4 successfully offloaded",POINT(-63.45234 43.5634),EPSG:4326,136.0,2013-10-17,,
43.57613,-63.44283,2013-05-28T19:11:40Z/2017-02-22T12:48:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX152-VR4-250434-3,,POINT(-63.44283 43.57613),EPSG:4326,126.0,2013-10-17,,
43.5825,-63.43801,,urn:catalog:otn:DFO-BIO:HFX:HFX151-VR4-250152-3,"DOMINI2017022204: No motor comms with AR, other comms possible.  VR4 offload successful",POINT(-63.43801 43.5825),EPSG:4326,126.0,2013-10-17,,
43.58889,-63.43301,2013-05-28T18:57:44Z/2017-02-22T12:26:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX150-VR4-250445-3,,POINT(-63.43301 43.58889),EPSG:4326,128.0,2013-10-17,,
43.59546,-63.42826,2013-05-28T18:51:42Z/2017-02-22T12:18:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX149-VR4-250278-3,,POINT(-63.42826 43.59546),EPSG:4326,128.0,2013-10-17,,
43.60166,-63.42339,2013-05-28T18:42:25Z/2017-02-22T12:05:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX148-VR4-250309-3,,POINT(-63.42339 43.60166),EPSG:4326,130.0,2013-10-17,,
43.60757,-63.41913,,urn:catalog:otn:DFO-BIO:HFX:HFX147-VR4-250437-3,No response from AR or VR4,POINT(-63.41913 43.60757),EPSG:4326,130.0,2013-10-17,,
43.61409,-63.41421,2013-05-28T18:05:03Z/2017-02-22T11:50:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX146-VR4-250166-3,,POINT(-63.41421 43.61409),EPSG:4326,129.0,2013-10-17,,
43.62069,-63.40924,2013-05-28T17:55:54Z/2017-02-22T11:40:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX145-VR4-250172-3,,POINT(-63.40924 43.62069),EPSG:4326,121.0,2013-10-17,,
43.52528,-63.481,2013-05-28T20:12:06Z/2017-02-22T13:48:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX160-VR4-250157-3,,POINT(-63.481 43.52528),EPSG:4326,161.0,2013-10-17,,
43.68508,-63.40008,,urn:catalog:otn:DFO-BIO:HFX:HFX136-VR4-250419-3,no rsponse from either instrument - presumed missing,POINT(-63.40008 43.68508),EPSG:4326,113.0,2016-12-05,,
43.31267,-63.50004,2012-05-24T00:17:32Z/2017-02-22T18:20:00Z,urn:catalog:otn:OTN:HFX:HFX190-VR4-250235-1,,POINT(-63.50004 43.31267),EPSG:4326,168.0,2012-05-30,,
43.4421,-63.50004,2012-05-23T22:40:51Z/2017-02-22T15:10:00Z,urn:catalog:otn:OTN:HFX:HFX172-VR4-250304-1,,POINT(-63.50004 43.4421),EPSG:4326,175.0,2012-05-30,,
